role_id,title,description
BillingViewer2,Billing Viewer,Allows read-only access to view Azure billing and cost information.
CloudIncidentManager,Cloud Incident Manager,Enables managing and responding to security incidents on Oracle Cloud and DigitalOcean.
LoadBalancerOperator1,Load Balancer Operator,Allows managing and operating load balancers on Oracle Cloud and DigitalOcean.
DataPipelineDeveloper4,Data Pipeline Developer,Enables developers to create and manage data pipelines on DownUnder Cloud Services.
BillingViewer3,Billing Viewer,Allows read-only access to view Alibaba Cloud billing and cost information.
CloudWatchOperator1,CloudWatch Operator,Enables managing and operating Oracle Cloud and DigitalOcean monitoring services.
OCIStreamingViewer,OCI Streaming Viewer,Allows read access to view and inspect Oracle Cloud Streaming service event streams.
GameLiftDeveloper,GameLift Developer,Allows developers to create and manage game servers with Amazon GameLift.
DOBlockStorageViewer,DigitalOcean Block Storage Viewer,Allows read access to view and inspect DigitalOcean block storage volumes.
COSBucketAdmin,COS Bucket Administrator,Allows managing and configuring Alibaba Cloud Cloud Object Storage (COS) buckets and objects.
CloudVideoIntelligenceDeveloper,Cloud Video Intelligence Developer,Enables developers to build applications that use Cloud Video Intelligence API.
AKSDeveloper,AKS Developer,Enables developers to deploy and manage applications on Azure Kubernetes Service (AKS).
DataOpsDeveloper,DataOps Developer,Enables developers to build and manage data operations pipelines on DownUnder Cloud Services.
VPCSecurityManager,VPC Security Manager,Grants access to manage VPC firewall rules and security policies.
EventGridOperator,Azure Event Grid Operator,Allows managing and operating Azure Event Grid for event-driven applications.
CloudSearchAdmin,CloudSearch Administrator,Grants full access to manage and configure Amazon CloudSearch domains.
DataSyncOperator,DataSync Operator,Allows managing and operating AWS DataSync for data transfer.
CloudMonitorAdmin1,Cloud Monitor Administrator,Provides full access to manage and configure Alibaba Cloud CloudMonitor for monitoring and alerts.
FunctionAppOperator,Function App Operator,Allows managing and operating Azure Functions.
CloudLogsViewer,Cloud Logs Viewer,Allows read access to view and inspect DownUnder Cloud Services log data.
CloudResourceGovernor,Cloud Resource Governor,Enables managing and governing resources on Oracle Cloud and DigitalOcean.
DataGovernanceSpecialist,Data Governance Specialist,Enables implementing and managing data governance policies on the cloud platform.
